LINKS,MOOD,TITLE ,ARTIST
https://youtu.be/OzI9M74IfR0?si=M3vLgddA2F_c3YVY,HAPPY,Yimmi Yimmi,Shreya Ghoshal
https://youtu.be/bw7bVpI5VcM?si=WtH71AV_MEAZnpDC,Calm,Love you zindagi,Amit Trivedi
https://youtu.be/zAU_rsoS5ok?si=HrJhYfdLbnAIyF-2,calm,raabta,Pritam
https://youtu.be/yHWPO9DDnsk?si=q-sRVkKCOnAt8yF6,HAPPY ,Bhagi si Bhagi si,Mohit Chauhan
https://youtu.be/vr8RaNuWjWc?si=XRiYrDtISUmCRy82,,Falak Tak,Mahalaxmi Iyer
https://youtu.be/i0AUEswUayo?si=3QIjtatbjjlCogcC,Happy,Buddhu Sa Mann,Armaan Malik
https://youtu.be/6vKucgAeF_Q?si=-SMtbYDd1KkJbf9o,Happy,Matargashti,Mohit Chauhan
https://youtu.be/05TA9jNnCdU?si=GYWrDheHc7JhJZTn,Happy,galti se mistake,Amit Mishra & Arijit
https://youtu.be/-z_UvHknyrc?si=nMlNPnzb7i3_9I0D,Happy,Who Din,Arijit Singh
https://youtu.be/-aYL_iHfFXY?si=IoUPEvWXuY0Kn92U,calm,Laal Ishq,Arijit Singh
https://youtu.be/PzmNssVLcLQ?si=b3wg9dgMoVhy9Csy,Happy,Khul ke jeene ka,Arijit Singh
https://youtu.be/2Z0Put0teCM?si=MWHs3V0T3Y6rcuMb,Happy,Senorita,"Farhan Akhtar , Hrithik Roshan, Abhay DeolMaria"
https://youtu.be/nJZcbidTutE?si=y8HyXXBu5WGXDcWv,Happy,Sooraj Dooba Hai yaaro,Arijit Singh
https://youtu.be/xlNek_Oe12Y?si=g55Z6qyjfBON0tfE,Sad,Bandeya,Arijit Singh
https://youtu.be/KzBa4ZKTVjE?si=2IrYJT2qS-j3Ev0a,Sad,Naina,Pritam Chakraborty
https://youtu.be/jHNNMj5bNQw?si=S8oNq_vN4FJrQPz0,Sad,Kabira,Pritam Chakraborty
https://youtu.be/xQx5H14YTyQ?si=IuS18eLjxKKip42L,Sad,Ae zindagi gale laga le,Suresh Wadkar
https://youtu.be/vA86QFrXoho?si=Jeyi0MmFmg64WRRi,Sad,Alag Aasmaan,Anuv Jain
https://youtu.be/vdbP_3o73qI?si=KnkkuDvO-xjjI8by,Sad,Jaan Nisaar,Arijit Singh
https://youtu.be/SjsIws_8ozg?si=e1Lfk0PIYRHnYxQd,Sad,Jeena Jeena,Atif Aslam
https://youtu.be/hWJxJhsVWio?si=ZBajqEErXwtRUNuK,Sad,Naina Ashq Na Ho,Arijit Singh & Pritam
https://youtu.be/hoNb6HuNmU0?si=KfFX68l61p6IuzE_,Sad,Khairiyat,Arijit Singh
https://youtu.be/IJq0yyWug1k?si=O2UwDFzx5QIaMqIg,Sad,Tum Hi ho,Arijit Singh
https://youtu.be/wzLo4iQTZqQ?si=drIxDpLKzEsV2ak8,Sad,Judaai,Arijit Singh & Rekha Bhardwaj
https://youtu.be/xRb8hxwN5zc?si=8vWVucPKg8YNNsO4,Sad,Agar Tum Saath Ho,Alka Yagnik & Arjit Singh
https://youtu.be/gMJFzXZ103Y?si=KnuzqdLERzWmrwu_,Sad,Tum Bin ,Shreya Ghoshal
https://youtu.be/LH6c2bTM8p0?si=wXBxRLvPVBum6WQC,Happy,Sooseki,Shreya Ghoshal
https://youtu.be/tmo5pej8R3Q?si=YzmZCxyyEWYdlBaC,Calm,Dhadak,Ajay Gogavale & Shreya Ghoshal
https://youtu.be/8cVkLeCqUHk?si=cfcEJnfsyuomIW_N,Happy,Kissik,Subhlahshini
https://youtu.be/x2J1qbndOmU?si=kGWwI0BXvfxDqJCj,Angry,Toofan,A.R. Rehman
https://youtu.be/x9feF5rtMAc?si=cjLIAs99QMkNtF_Z,Angry,Aarmbh hai prachand,Piyush Mishra
https://youtu.be/9iIX4PBplAY?si=IHKSoGPoM6LgwUhX,Angry,Kar Har maidaan Fateh,Sukhwinder Singh & Shreya Ghoshal
https://youtu.be/fP6MNznzVcQ?si=_LKy-gjmIv1ExTni,Angry,Zinda ,Prasoon Joshi
https://youtu.be/YUH9jD__qHY?si=BKyEw5XjopQqhMeT,Angry,Malhaari,Vishal Dadlani
https://youtu.be/3qKi29UR2g4?si=ECAo7iG1NRL96PWH,Angry,Ghamd kar,Sachet Tandon & Parampara Thakur
https://youtu.be/h6aGikIL-I4?si=-uWqPpUKlSofgPoe,Angry,Get ready to fight,Benny Dayal & Siddharth Basrur 
https://youtu.be/v7K4vGYL9zI?si=vWVbr0Z5x92tDfcA,Angry,Khali Bali,Shivam Pathak
https://youtu.be/p9DQINKZxWE?si=99g-cThEAMq8V6Sr,Angry,Saada Haq ,A.R. Rehman & Mohit Chauhan
https://youtu.be/ns6Wy_2KRvU?si=w4Wejb6lScleHyoa,Angry,Killing Jeeja,Harshavardhan Rameshwar
https://youtu.be/3Cp2QTBZAFQ?si=1J6o6Fn3t-98dcxw,neutral,Finding her,Kushagra
https://youtu.be/FZLadzn5i6Q?si=iHhaBjm3LP8wKy90,Happy,Uyi Amma,Madhubanti Bagchi
https://youtu.be/QUohoYLdALQ?si=AsRZfmfn9G-NWC_s,Angry,Azeem-o-shaam Shahenshah,A.R. Rehman
https://youtu.be/Gl5wBrNuxx4?si=0MQX6CLwRV5SpHYC,Sad,Just go to Hell,Sunidhi Chauhan & Amit Trivedi
https://youtu.be/mt9xg0mmt28?si=20h51qulA0vw2Jw9,Calm,Tumse Hi,Pritam Chakraborty
https://youtu.be/UDLz16VJOdw?si=eyLhQXyK4T0b9W6m,Calm,Tere Naina,Shankar Mahadevan
https://youtu.be/k3g_WjLCsXM?si=nMNMhteYF86qryXh,Calm,Sajni re,Arijit Singh
https://youtu.be/QYO6AlxiRE4?si=i5ts3i4em9zdh8ra,Calm,Subhanallah,Pritam 
https://youtu.be/I-_LHvTeVy4?si=pIEZJmpRCtJpJwqt,Calm,Chandni,Sachet Tandon
https://youtu.be/o_Z4s7w2pQU?si=eanXFSCw33SOYGFD,Calm,Pal Pal Har Pal,Sonu Nigam
https://youtu.be/cs1e0fRyI18?si=RWGjwAmqX4XsnMYB,Calm,Hawayein,Pritam Chakraborty
https://youtu.be/GTOdXVfrXF0?si=C4lRv2G2711uzQ6E,Calm,Toota Jo Kabhi Tara,Atif Aslam
https://youtu.be/zAU_rsoS5ok?si=vWyGXOqHbrcgzKXZ,Calm,Raabta,Pritam Chakraborty
https://youtu.be/zXLgYBSdv74?si=GMkf4vlQRjvv0xzS,Calm,Ik Vaari aa,Arijit Singh
https://youtu.be/qSy6xPm_Tpo?si=53bexqu-r-_gbYAp,Calm,Ajab si,Vishal Shekhar
https://youtu.be/zWEOx7TSM6I?si=PekbpOr4_wy4Y5KI,Calm,Chand Sifarish,"Shaan , Kailash Kher"
https://youtu.be/FGNc3BibU3o?si=eCCOCnCTtLO76YT8,fear,Mere Dholna,Pritam Chakraborty
https://youtu.be/SqPagtDvOFo?si=DaN_IwS1vMezDG6a,fear,Gumnaam Hai Koi,Lata Mangeskar
https://youtu.be/FGNc3BibU3o?si=hk7qFm2F6Jc2-KqI,fear,Ami Je Tomar,Shreya Ghoshal
https://youtu.be/nqaYlFLo8zM?si=jxeVp3477lJ-tint,calm ,babli tero mobile,Heema Maarchaya
https://youtu.be/GfqhCaE0ON8?si=RYLWyp3RJn5rThQ4,calm ,batata vada,Asha Bhosle & S.P. Balasubhrahmanyam
https://youtu.be/alceWhaicrU?si=hJxc7lqseU5z1vAu,calm ,mere piya gaye rangoon,Shamshad Begam & C. Ramchandra
https://youtu.be/37jSVy-9FOs?si=qMQSyrjZxAZ6j1b4,calm ,mere husband mujhko pyar ni karte,Sunil Grover
https://youtu.be/n5UVzYwZJWI?si=lciNy-jB0WO8Vnsd,calm ,bado baddi,Chahat Fateh Ali Khan
https://youtu.be/eM8Mjuq4MwQ?si=MfJEiGrJ0HNvre1w,Suprise,Ankhein khuli ho ya ho band,Udit Narayan
https://youtu.be/EEX_XM6SxmY?si=Rgi7cRPX8XX2sWdw,Suprise,Tamma Tamma ,Tanishk & Badshah
https://youtu.be/igdVqJHy-L0?si=2mychzB59GiPIPJT,Calm,Tum Prem Ho ,Mohit Lalwani
https://youtu.be/V056WNg3ECo?si=9o4g463sNvrhKaCM,Suprise,zoobi doobi,Sonu Nigam & Sherya Ghoshal
https://youtu.be/NJ1NIIdHhXs?si=7XBWCC_b-00khE9c,Suprise,Bum Bum Bole,"Shaan , Kailash Kher"
https://youtu.be/B-pNp0LUV2Y?si=SBtVJDqcVKVhK8Q8,Suprise,Darshana,Hesham Abdul Wahab and Darshana Rajendran
https://youtu.be/6ZwwapPikyQ?si=EP_KFTWldgBgftTF,CALM,Samay Samjhaega,Mohit Lalwani
https://youtu.be/5idNBcKDtvA?si=Wyoi67yopVtalgbn,Calm,O Rangrez,Divya Kumar
https://youtu.be/9JDSGhhiOwI?si=u79Yr8RbGaQv9kqS,sad,Tere Bina,A.R. Rehmaan
https://youtu.be/mrdRHsIkK_c?si=xlSenliTlN5cNkn3,happy,Enna Sona,Arijit Singh
